Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn
2013353013013,52.308323,0.193380,East England,Rural,A,7,60,Single carriageway,Dry,Fine,No,Daylight,2013-07-09 16:02:00,2013,2,7,9,2,0.668000,2,6,5,T or staggered junction,Approaching junction or waiting/parked at junction approach,Did not impact,Other/Not known,1753,Heavy oil,Ford,Car,Going ahead,Fatal_Serious,16.000000
201343S026053,52.064583,-0.759592,South East England,Rural,C,5,60,Single carriageway,Wet or damp,Raining,No,Darkness - lights,2013-05-09 23:14:00,2013,1,5,9,4,0.968000,2,4,10,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1796,Petrol,Other,Car,Going ahead,Slight,23.000000
201443R036014,51.549017,-0.774862,South East England,Rural,A,8,50,Single carriageway,Wet or damp,Fine,Yes,Daylight,2014-01-03 14:50:00,2014,4,1,3,5,0.618000,1,7,13,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1124,Petrol,Peugeot,Car,Going ahead,Fatal_Serious,15.000000
201114K327511,53.373853,-1.479747,Yorkshire and the Humber,Urban,A,7,30,Dual carriageway,Dry,Fine,No,Daylight,2011-12-30 22:00:00,2011,4,12,30,5,0.917000,2,3,5,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1799,Petrol,Honda,Car,Going ahead,Slight,22.000000
201001PY20250,51.412655,-0.050814,London,Urban,A,3,30,Single carriageway,Dry,Fine,No,Daylight,2010-05-05 07:07:00,2010,1,5,5,3,0.297000,3,2,22,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1597,Petrol,Ford,Car,Going ahead,Fatal_Serious,7.000000
201304BA13068,54.050232,-2.796997,North West England,Urban,Unclassified,3,20,Single carriageway,Dry,Fine,No,Daylight,2013-06-13 14:15:00,2013,1,6,13,4,0.594000,2,4,7,T or staggered junction,Approaching junction or waiting/parked at junction approach,Did not impact,Commuting to/from work,124,Petrol,Honda,Motorcycle,Waiting to go,Slight,14.000000
201201PY20035,51.414296,-0.052182,London,Urban,A,3,30,Single carriageway,Dry,Fine,No,Daylight,2012-01-11 10:10:00,2012,4,1,11,3,0.424000,1,4,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1689,Heavy oil,Mercedes,Car,Going ahead,Slight,10.000000
201343P068113,52.057703,-1.353623,South East England,Urban,Unclassified,6,30,Dual carriageway,Wet or damp,Fine,No,Daylight,2013-11-02 08:44:00,2013,3,11,2,6,0.364000,2,4,11,T or staggered junction,Entering main road,Nearside,Commuting to/from work,1870,Heavy oil,Volvo,Car,Turning right,Slight,9.000000
2011130471480,53.884759,-1.624039,Yorkshire and the Humber,Rural,Unclassified,1,30,Single carriageway,Dry,Fine,No,Daylight,2011-10-14 11:55:00,2011,3,10,14,5,0.497000,2,7,8,T or staggered junction,Entering main road,Front,Other/Not known,1242,Petrol,Fiat,Car,Waiting to go,Slight,12.000000
201220W024752,52.482192,-1.889970,Wast Midlands,Urban,B,1,20,Dual carriageway,Wet or damp,Raining,No,Daylight,2012-05-03 14:30:00,2012,1,5,3,4,0.604000,2,3,7,Crossroads,Mid Junction - on roundabout or on main road,Offside,Other/Not known,1995,Heavy oil,BMW,Car,Going ahead,Slight,14.000000
