,Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn,IsMajor,WeekDay_type,isMotorcycle
0,2010160D03571,53.768288,-0.29189699999999996,Yorkshire and the Humber,Urban,Unclassified,5,30,Single carriageway,Dry,Fine,No,Daylight,2010-07-28 08:05:00,2010,2,7,28,3,0.337,2,4,2,T or staggered junction,Entering main road,Front,Commuting to/from work,1598,Petrol,Mini,Car,Turning right,Slight,8.0,0,1,0
1,201101KG70148,51.541596999999996,0.165392,London,Urban,A,3,30,Single carriageway,Dry,Fine,No,Darkness - lights,2011-04-26 22:53:00,2011,1,4,26,2,0.953,2,1,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,124,Petrol,Other,Motorcycle,Overtaking,Slight,23.0,0,1,1
2,201101FH10358,51.505776000000004,-0.22941599999999998,London,Urban,Unclassified,4,30,Single carriageway,Dry,Fine,No,Daylight,2011-08-06 17:19:00,2011,2,8,6,6,0.722,2,4,8,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1796,Petrol,Mercedes,Car,Turning right,Slight,17.0,0,0,0
3,201045RE47983,51.267635,-0.135945,South East England,Rural,Unclassified,9,30,Single carriageway,Frost or ice,Fine,No,Darkness - no lights,2010-01-17 23:54:00,2010,4,1,17,7,0.996,1,3,14,T or staggered junction,Cleared junction or waiting/parked at junction exit,Front,Other/Not known,1994,Heavy oil,Rover,Car,Going ahead,Fatal_Serious,0.0,1,0,0
4,201306N071555,53.54590699999999,-2.310555,North West England,Urban,A,1,30,Single carriageway,Wet or damp,Snowing,Yes,Darkness - lights,2013-03-22 19:14:00,2013,1,3,22,5,0.801,2,2,1,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1339,Petrol,Honda,Car,Going ahead,Slight,19.0,0,1,0
5,2011370304711,52.314801,0.86485,East England,Rural,C,6,60,Single carriageway,Dry,Fine,No,Daylight,2011-08-01 12:17:00,2011,2,8,1,1,0.512,2,3,7,Crossroads,Cleared junction or waiting/parked at junction exit,Front,Journey as part of work,2148,Heavy oil,Mercedes,Van,Turning right,Slight,12.0,0,1,0
6,2012552D11129,50.878824,-1.865361,South West England,Urban,B,10,30,Single carriageway,Dry,Fine,No,Daylight,2012-03-18 09:40:00,2012,4,3,18,7,0.403,2,5,2,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1997,Heavy oil,Ford,Car,Turning right,Fatal_Serious,10.0,1,0,0
7,201104CA11004,53.635889,-2.615343,North West England,Rural,A,8,40,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2011-01-12 17:40:00,2011,4,1,12,3,0.736,1,1,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Commuting to/from work,49,Petrol,Other,Motorcycle,Going ahead,Fatal_Serious,18.0,1,1,1
8,201011SB30230,54.72814399999999,-1.6889439999999998,North East England,Rural,Unclassified,4,30,Single carriageway,Snow,Fine,No,Daylight,2010-11-27 15:50:00,2010,3,11,27,6,0.66,2,4,10,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1753,Heavy oil,Ford,Car,Going ahead,Slight,16.0,0,0,0
9,201022D004091,52.318166,-1.966372,Wast Midlands,Rural,Unclassified,9,60,Single carriageway,Dry,Fine,No,Daylight,2010-08-17 17:20:00,2010,2,8,17,2,0.722,2,3,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,2500,Heavy oil,Ford,Van,Going ahead,Slight,17.0,0,1,0
10,2011471105647,51.00308,-0.339077,South East England,Rural,A,6,60,Dual carriageway,Wet or damp,Raining,No,Daylight,2011-09-06 14:13:00,2011,2,9,6,2,0.592,1,6,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Other/Not known,1360,Petrol,Citroen,Car,Going ahead,Slight,14.0,0,1,0
11,201401MM70507,51.443425,-0.067924,London,Urban,A,5,30,Single carriageway,Dry,Fine,No,Daylight,2014-05-15 17:08:00,2014,1,5,15,4,0.714,2,3,6,T or staggered junction,Mid Junction - on roundabout or on main road,Offside,Other/Not known,2969,Heavy oil,Audi,Car,Turning right,Fatal_Serious,17.0,1,1,0
12,2014170L11374,54.53102,-1.095809,North East England,Rural,C,1,40,Single carriageway,Dry,Fine,No,Daylight,2014-08-29 17:03:00,2014,2,8,29,5,0.71,2,5,4,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1198,Petrol,Skoda,Car,Going ahead,Fatal_Serious,17.0,1,1,0
13,20134100B0447,51.795008,-0.202157,East England,Urban,A,8,30,Single carriageway,Dry,Fine,No,Daylight,2013-08-19 18:40:00,2013,2,8,19,1,0.778,2,4,6,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1995,Heavy oil,BMW,Car,Turning right,Slight,19.0,0,1,0
14,2011070161573,53.224931000000005,-2.894502,North West England,Urban,A,10,60,Roundabout,Wet or damp,Raining,No,Daylight,2011-06-12 15:19:00,2011,1,6,12,7,0.638,1,1,8,Roundabout,Mid Junction - on roundabout or on main road,Nearside,Other/Not known,1149,Petrol,Renault,Car,Going ahead,Slight,15.0,0,0,0
15,201132L274411,53.264825,-0.539343,East Midlands,Rural,A,6,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2011-09-20 22:16:00,2011,2,9,20,2,0.928,3,5,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1343,Petrol,Kia,Car,Going ahead,Fatal_Serious,22.0,1,1,0
16,2012212001181,53.060039,-2.239605,Wast Midlands,Rural,A,10,70,Dual carriageway,Dry,Fine,No,Daylight,2012-02-27 12:45:00,2012,4,2,27,1,0.531,2,4,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,2184,Heavy oil,Mazda,Car,Slowing or stopping,Slight,13.0,0,1,0
17,201101XD80435,51.528118,-0.286649,London,Urban,A,6,40,Dual carriageway,Dry,Fine,No,Daylight,2011-05-12 07:40:00,2011,1,5,12,4,0.319,2,4,1,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Journey as part of work,124,Petrol,Other,Motorcycle,Waiting to go,Fatal_Serious,8.0,1,1,1
18,201150JN2O013,50.53665,-3.647526,South West England,Rural,A,3,60,Single carriageway,Wet or damp,Fine,No,Daylight,2011-09-18 07:53:00,2011,2,9,18,7,0.328,1,1,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Commuting to/from work,1124,Petrol,Peugeot,Car,Going ahead,Slight,8.0,0,0,0
19,2012130398380,53.81023100000001,-1.757437,Yorkshire and the Humber,Urban,A,2,40,Single carriageway,Dry,Fine,No,Darkness - lighting unknown,2012-09-13 19:30:00,2012,2,9,13,4,0.812,3,3,9,Crossroads,Mid Junction - on roundabout or on main road,Front,Other/Not known,1994,Petrol,Other,Car,Going ahead,Slight,19.0,0,1,0
20,201404SC14085,53.705652,-2.632086,North West England,Urban,Motorway,5,70,Dual carriageway,Wet or damp,Raining,No,Darkness - no lights,2014-12-16 20:19:00,2014,3,12,16,2,0.847,1,6,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1587,Petrol,Citroen,Car,Going ahead,Slight,20.0,0,1,0
21,201001QK50484,51.570954,-0.294996,London,Urban,C,6,30,Single carriageway,Dry,Fine,No,Daylight,2010-08-13 07:50:00,2010,2,8,13,5,0.326,2,4,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Commuting to/from work,1870,Heavy oil,Other,Car,Waiting to go,Slight,8.0,0,1,0
22,2014404DA0753,51.944520000000004,-0.516309,East England,Rural,B,2,60,Single carriageway,Dry,Fine,No,Daylight,2014-08-23 06:36:00,2014,2,8,23,6,0.275,2,3,6,Private drive or entrance,Mid Junction - on roundabout or on main road,Back,Journey as part of work,1910,Heavy oil,Vauxhall,Car,Turning right,Slight,7.0,0,0,0
23,2011471103492,50.851437,-0.288181,South East England,Rural,A,4,60,Single carriageway,Dry,Fine,No,Daylight,2011-06-05 10:36:00,2011,1,6,5,7,0.442,2,4,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1052,Petrol,Other,Motorcycle,Overtaking,Fatal_Serious,11.0,1,0,1
24,2013300001326,52.912112,-1.487974,East Midlands,Urban,A,10,30,Single carriageway,Dry,Fine,No,Daylight,2013-07-12 16:40:00,2013,2,7,12,5,0.694,3,4,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1598,Petrol,Mazda,Car,Going ahead,Slight,17.0,0,1,0
25,201104CJ11033,53.555533,-2.775744,North West England,Urban,Unclassified,2,30,Dual carriageway,Wet or damp,Fine,No,Daylight,2011-05-15 17:20:00,2011,1,5,15,7,0.722,2,2,7,Roundabout,Mid Junction - on roundabout or on main road,Front,Other/Not known,1998,Petrol,Vauxhall,Car,Turning right,Slight,17.0,0,0,0
26,201054EG24810,51.27143,-2.196786,South West England,Urban,B,4,30,Single carriageway,Dry,Fine,No,Daylight,2010-07-18 17:15:00,2010,2,7,18,7,0.719,2,6,1,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1598,Petrol,Toyota,Car,Going ahead,Slight,17.0,0,0,0
27,2014160D01751,53.779429,-0.38949,Yorkshire and the Humber,Urban,Unclassified,1,30,Single carriageway,Dry,Fine,No,Daylight,2014-03-21 08:09:00,2014,1,3,21,5,0.34,2,1,9,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1229,Petrol,Vauxhall,Car,Going ahead,Slight,8.0,0,1,0
28,2011070297473,53.429113,-2.564507,North West England,Rural,Motorway,4,70,Dual carriageway,Wet or damp,Fine,No,Daylight,2011-10-19 19:10:00,2011,3,10,19,3,0.799,5,2,6,Slip road,Mid Junction - on roundabout or on main road,Front,Commuting to/from work,1598,Petrol,Mini,Car,Going ahead,Slight,19.0,0,1,0
29,2010100721310,54.968343999999995,-1.621173,North East England,Urban,A,1,20,One way street,Wet or damp,Raining,No,Darkness - lights,2010-11-09 18:00:00,2010,3,11,9,2,0.75,1,3,8,Crossroads,Approaching junction or waiting/parked at junction approach,Front,Journey as part of work,1598,Petrol,Mini,Car,Going ahead,Slight,18.0,0,1,0
30,201005EE03464,53.400681000000006,-2.962409,North West England,Urban,A,2,30,Single carriageway,Dry,Fine,No,Daylight,2010-05-27 09:45:00,2010,1,5,27,4,0.406,2,3,1,Crossroads,Mid Junction - on roundabout or on main road,Nearside,Commuting to/from work,1995,Heavy oil,BMW,Car,Turning right,Slight,10.0,0,1,0
31,2013100234713,54.950813000000004,-1.6304100000000001,North East England,Urban,A,3,50,Dual carriageway,Dry,Fine,No,Daylight,2013-05-10 08:32:00,2013,1,5,10,5,0.356,3,3,4,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Journey as part of work,2148,Heavy oil,Mercedes,Van,Slowing or stopping,Fatal_Serious,9.0,1,1,0
32,2010460190707,51.299434000000005,0.8962690000000001,South East England,Rural,Motorway,5,70,Dual carriageway,Dry,Fine,No,Daylight,2010-09-03 13:19:00,2010,2,9,3,5,0.555,1,1,13,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,998,Petrol,Nissan,Car,Changing lane,Slight,13.0,0,1,0
33,201450GP2K006,50.209675,-5.1025540000000005,South West England,Rural,A,7,40,Single carriageway,Dry,Fine,No,Daylight,2014-08-12 18:01:00,2014,2,8,12,2,0.751,2,6,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,2000,Heavy oil,BMW,Car,Slowing or stopping,Slight,18.0,0,1,0
34,201143R059061,51.479622,-0.6261760000000001,South East England,Urban,B,10,30,Single carriageway,Wet or damp,Raining,No,Daylight,2011-06-12 15:54:00,2011,1,6,12,7,0.662,2,1,11,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1596,Petrol,Ford,Car,Going ahead,Fatal_Serious,16.0,1,0,0
35,201001CW10162,51.530869,-0.176827,London,Urban,B,4,30,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2010-02-03 17:28:00,2010,4,2,3,3,0.728,2,4,11,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1360,Petrol,Citroen,Car,Changing lane,Fatal_Serious,17.0,1,1,0
36,201204AM12199,53.801868000000006,-2.9934369999999997,North West England,Urban,A,10,30,Dual carriageway,Dry,Fine,No,Daylight,2012-09-27 17:45:00,2012,3,9,27,4,0.74,2,6,3,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,2987,Heavy oil,Mercedes,Car,Going ahead,Slight,18.0,0,1,0
37,2013353009513,52.126336,0.226215,East England,Rural,A,8,60,Single carriageway,Dry,Fine,No,Daylight,2013-06-28 05:39:00,2013,2,6,28,5,0.235,1,4,25,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Commuting to/from work,999,Petrol,Honda,Motorcycle,Going ahead,Fatal_Serious,6.0,1,1,1
38,2011471104295,50.798469,-0.68818,South East England,Urban,Unclassified,5,30,Single carriageway,Dry,Fine,No,Daylight,2011-07-11 17:00:00,2011,2,7,11,1,0.708,2,7,1,T or staggered junction,Entering main road,Front,Other/Not known,998,Petrol,Citroen,Car,Moving off,Slight,17.0,0,1,0
39,2013471300950,50.833907,-0.17133199999999998,South East England,Urban,Unclassified,4,30,Single carriageway,Dry,Fine,No,Daylight,2013-02-19 12:00:00,2013,4,2,19,2,0.5,2,6,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1999,Heavy oil,Volkswagen,Car,U-turn,Slight,12.0,0,1,0
40,201201YE80033,51.612863,-0.036325,London,Rural,A,1,40,Slip road,Dry,Fine,No,Daylight,2012-01-04 12:45:00,2012,4,1,4,3,0.531,2,3,5,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1596,Petrol,Ford,Car,Slowing or stopping,Slight,13.0,0,1,0
41,201154A949511,51.506637,-1.965964,South West England,Rural,A,9,30,Single carriageway,Wet or damp,Fine,No,Daylight,2011-12-10 10:46:00,2011,3,12,10,6,0.449,3,5,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1997,Heavy oil,Citroen,Car,Slowing or stopping,Slight,11.0,0,0,0
42,2012440393039,50.877514,-1.213976,South East England,Rural,Unclassified,10,40,Single carriageway,Wet or damp,Fine,No,Daylight,2012-10-07 17:46:00,2012,3,10,7,7,0.74,3,4,6,Private drive or entrance,Entering main road,Did not impact,Other/Not known,1910,Heavy oil,Other,Car,Moving off,Fatal_Serious,18.0,1,0,0
43,2014300005517,52.88900400000001,-1.4279030000000001,East Midlands,Urban,Unclassified,4,30,Single carriageway,Dry,Fine,No,Darkness - lights,2014-02-24 23:00:00,2014,4,2,24,1,0.958,3,2,13,Crossroads,Approaching junction or waiting/parked at junction approach,Nearside,Other/Not known,1390,Petrol,Seat,Car,Overtaking,Slight,23.0,0,1,0
44,201243P271082,51.763298,-1.1963409999999999,South East England,Urban,Unclassified,7,20,Single carriageway,Dry,Fine,No,Daylight,2012-08-30 08:47:00,2012,2,8,30,4,0.366,3,2,5,Roundabout,Approaching junction or waiting/parked at junction approach,Nearside,Journey as part of work,1299,Petrol,Ford,Car,Going ahead,Slight,9.0,0,1,0
45,2012440027217,50.857114,-1.1467180000000001,South East England,Rural,Motorway,10,70,Dual carriageway,Wet or damp,Fine,No,Darkness - lights,2012-01-19 16:23:00,2012,4,1,19,4,0.683,2,6,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1984,Petrol,Volkswagen,Car,Slowing or stopping,Slight,16.0,0,1,0
46,201011SK03140,54.621720999999994,-1.5660129999999999,North East England,Urban,Unclassified,4,30,Roundabout,Wet or damp,Fine,No,Daylight,2010-02-12 15:42:00,2010,4,2,12,5,0.654,2,7,1,Roundabout,Entering roundabout,Front,Other/Not known,1149,Petrol,Renault,Car,Slowing or stopping,Slight,16.0,0,1,0
47,2012471203191,50.820356,-0.144729,South East England,Urban,A,8,30,Single carriageway,Wet or damp,Raining,Yes,Darkness - lights,2012-06-24 02:30:00,2012,2,6,24,7,0.104,1,1,11,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,124,Petrol,Honda,Motorcycle,Overtaking,Fatal_Serious,2.0,1,0,1
48,201301LX50192,51.46833,0.124628,London,Urban,Unclassified,10,30,Single carriageway,Dry,Fine,No,Darkness - lights,2013-03-22 20:18:00,2013,1,3,22,5,0.846,1,6,10,Crossroads,Mid Junction - on roundabout or on main road,Front,Other/Not known,1997,Heavy oil,Citroen,Car,Going ahead,Slight,20.0,0,1,0
49,201301SX20827,51.614929,-0.24625999999999998,London,Urban,A,7,30,Single carriageway,Dry,Fine,No,Darkness - lights,2013-09-19 20:00:00,2013,2,9,19,4,0.833,2,4,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,2993,Heavy oil,BMW,Car,Waiting to go,Slight,20.0,0,1,0
50,20134100D0299,51.789016,-0.655363,East England,Rural,A,8,70,Dual carriageway,Wet or damp,Fine,No,Daylight,2013-05-29 19:55:00,2013,1,5,29,3,0.83,1,1,11,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1199,Petrol,Vauxhall,Car,Going ahead,Slight,20.0,0,1,0
51,20114100J0277,51.651799,-0.377687,East England,Urban,B,1,30,Roundabout,Dry,Fine,No,Daylight,2011-05-06 16:37:00,2011,1,5,6,5,0.692,3,8,5,Roundabout,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,2198,Petrol,Vauxhall,Car,Slowing or stopping,Slight,17.0,0,1,0
52,201305BB05486,53.544713,-3.049932,North West England,Rural,B,8,60,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2013-12-07 18:13:00,2013,3,12,7,6,0.759,2,4,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Journey as part of work,2688,Heavy oil,Mercedes,Car,Going ahead,Fatal_Serious,18.0,1,0,0
53,2013547709913,51.183091,-2.098361,South West England,Rural,A,4,50,Single carriageway,Dry,Fine,No,Darkness - no lights,2013-08-13 20:46:00,2013,2,8,13,2,0.865,1,4,16,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,918,Petrol,Honda,Motorcycle,Going ahead,Fatal_Serious,21.0,1,1,1
54,2012440419850,50.809033,-1.063996,South East England,Urban,A,4,30,Single carriageway,Dry,Fine,No,Daylight,2012-10-27 08:48:00,2012,3,10,27,6,0.367,2,5,5,T or staggered junction,Entering main road,Front,Journey as part of work,1910,Heavy oil,Vauxhall,Car,Turning left,Slight,9.0,0,0,0
55,201104DL11078,53.792147,-2.713765,North West England,Urban,A,10,30,Single carriageway,Dry,Fine,No,Daylight,2011-08-02 10:00:00,2011,2,8,2,2,0.417,2,8,5,Other junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1597,Petrol,Other,Car,Turning left,Slight,10.0,0,1,0
56,201414K192614,53.409009999999995,-1.4519540000000002,Yorkshire and the Humber,Urban,A,8,30,Single carriageway,Dry,Fine,No,Darkness - lights,2014-08-13 21:16:00,2014,2,8,13,3,0.886,1,4,5,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1248,Heavy oil,Fiat,Car,Going ahead,Slight,21.0,0,1,0
57,201150EP2F020,50.383096,-4.046702,South West England,Urban,Unclassified,7,30,Single carriageway,Wet or damp,Fine,No,Daylight,2011-07-16 17:30:00,2011,2,7,16,6,0.729,1,1,7,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1124,Petrol,Citroen,Car,Slowing or stopping,Slight,17.0,0,0,0
58,2014350211314,52.207689,0.007217,East England,Rural,C,8,30,Single carriageway,Wet or damp,Fine,No,Darkness - no lights,2014-12-03 16:44:00,2014,3,12,3,3,0.697,2,8,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1598,Petrol,Vauxhall,Car,Going ahead,Slight,17.0,0,1,0
59,201437EA79347,52.301586,0.48317,East England,Rural,B,8,30,Single carriageway,Dry,Fine,No,Daylight,2014-04-06 16:38:00,2014,1,4,6,7,0.693,2,7,6,T or staggered junction,Entering main road,Front,Other/Not known,1896,Heavy oil,Volkswagen,Van,Moving off,Fatal_Serious,17.0,1,0,0
60,2013520301686,51.202744,-2.6615,South West England,Urban,Unclassified,8,30,Single carriageway,Dry,Fine,No,Darkness - lights,2013-02-28 18:00:00,2013,4,2,28,4,0.75,1,5,1,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1582,Heavy oil,Kia,Car,Going ahead,Slight,18.0,0,1,0
61,20134100F0775,51.722074,-0.27368000000000003,East England,Rural,C,7,60,Single carriageway,Wet or damp,Fine,No,Darkness - no lights,2013-12-02 06:18:00,2013,3,12,2,1,0.263,2,2,2,Private drive or entrance,Approaching junction or waiting/parked at junction approach,Front,Commuting to/from work,1591,Petrol,Kia,Car,Going ahead,Fatal_Serious,6.0,1,1,0
62,201320T059633,52.490956000000004,-1.848269,Wast Midlands,Urban,Unclassified,1,30,Single carriageway,Dry,Fine,No,Darkness - no lights,2013-11-26 17:05:00,2013,3,11,26,2,0.712,1,4,14,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,998,Petrol,Toyota,Car,Going ahead,Fatal_Serious,17.0,1,1,0
63,2011211004834,52.806897,-1.652095,Wast Midlands,Urban,Unclassified,1,30,Single carriageway,Dry,Fine,No,Daylight,2011-08-31 14:05:00,2011,2,8,31,3,0.587,2,3,16,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1590,Petrol,Honda,Car,Going ahead,Slight,14.0,0,1,0
64,2012440464186,50.701499,-1.41483,South East England,Rural,A,5,30,Single carriageway,Dry,Fine,No,Daylight,2012-11-29 10:56:00,2012,3,11,29,4,0.456,1,6,1,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1598,Petrol,Nissan,Car,Going ahead,Slight,11.0,0,1,0
65,201401QA10221,51.582326,-0.31651,London,Urban,A,10,30,Single carriageway,Dry,Fine,No,Daylight,2014-04-22 13:48:00,2014,1,4,22,2,0.575,2,5,16,Crossroads,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,2997,Petrol,Other,Car,Waiting to go,Fatal_Serious,14.0,1,1,0
66,20114100F0328,51.821781,-0.386533,East England,Rural,Unclassified,10,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2011-05-13 21:45:00,2011,1,5,13,5,0.906,1,2,5,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1994,Petrol,Other,Car,Going ahead,Slight,22.0,0,1,0
67,2012440425182,51.36327,-1.2335399999999999,South East England,Rural,Unclassified,9,30,Single carriageway,Dry,Fine,No,Daylight,2012-10-31 14:08:00,2012,3,10,31,3,0.589,2,6,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,2495,Heavy oil,Land Rover,Car,Going ahead,Slight,14.0,0,1,0
68,2013170L40423,54.581475,-1.014095,North East England,Rural,A,2,60,Roundabout,Dry,Fine,No,Daylight,2013-03-15 17:15:00,2013,4,3,15,5,0.719,4,5,3,Private drive or entrance,Cleared junction or waiting/parked at junction exit,Did not impact,Journey as part of work,1753,Heavy oil,Ford,Car,Slowing or stopping,Slight,17.0,0,1,0
69,2013120104636,53.938309999999994,-1.5606149999999999,Yorkshire and the Humber,Rural,A,8,60,Single carriageway,Dry,Fine,No,Daylight,2013-06-26 16:55:00,2013,2,6,26,3,0.705,2,2,2,Crossroads,Mid Junction - on roundabout or on main road,Offside,Commuting to/from work,1968,Heavy oil,Volkswagen,Van,Waiting to go,Slight,17.0,0,1,0
70,201332E440113,53.159856000000005,0.341591,East Midlands,Rural,Unclassified,4,30,Single carriageway,Dry,Fine,No,Daylight,2013-11-23 10:40:00,2013,3,11,23,6,0.444,2,8,3,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1240,Petrol,Nissan,Car,Moving off,Fatal_Serious,11.0,1,0,0
71,201314A090813,53.585255000000004,-1.1922700000000002,Yorkshire and the Humber,Urban,B,2,30,Single carriageway,Dry,Fine,No,Daylight,2013-09-04 11:50:00,2013,2,9,4,3,0.493,2,3,14,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1700,Petrol,Ford,Car,Going ahead,Fatal_Serious,12.0,1,1,0
72,201405BB03113,53.494837,-2.972966,North West England,Urban,A,9,30,Single carriageway,Dry,Fine,No,Daylight,2014-06-06 18:24:00,2014,1,6,6,5,0.767,5,6,1,T or staggered junction,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,1198,Petrol,Skoda,Car,Going ahead,Slight,18.0,0,1,0
73,2010130004042,53.666683,-1.617356,Yorkshire and the Humber,Urban,B,2,30,Single carriageway,Dry,Fine,No,Darkness - lights,2010-05-16 04:55:00,2010,1,5,16,7,0.205,1,1,4,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1910,Heavy oil,Vauxhall,Car,Going ahead,Fatal_Serious,5.0,1,0,0
74,2010130000648,53.678779000000006,-1.6646330000000003,Yorkshire and the Humber,Urban,A,5,30,Single carriageway,Dry,Fine,No,Darkness - lights,2010-01-27 07:10:00,2010,4,1,27,3,0.299,2,5,3,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Commuting to/from work,660,Petrol,Yamaha,Motorcycle,Going ahead,Slight,7.0,0,1,1
75,201045EL57104,51.368348,-0.396633,South East England,Urban,C,8,30,Roundabout,Frost or ice,Unknown,No,Darkness - lights,2010-12-13 21:00:00,2010,3,12,13,1,0.875,2,4,6,Roundabout,Entering roundabout,Offside,Other/Not known,1398,Petrol,Toyota,Car,Going ahead,Slight,21.0,0,1,0
76,2012360066118,52.69201700000001,1.324216,East England,Rural,Unclassified,9,30,Single carriageway,Dry,Fine,No,Daylight,2012-06-18 15:40:00,2012,1,6,18,1,0.653,1,4,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,1998,Heavy oil,Ford,Car,Slowing or stopping,Slight,16.0,0,1,0
77,2012331205822,52.638194999999996,-1.120847,East Midlands,Urban,Unclassified,4,30,Single carriageway,Dry,Fine,No,Darkness - lights,2012-09-01 20:45:00,2012,2,9,1,6,0.865,2,5,10,T or staggered junction,Leaving main road,Back,Journey as part of work,796,Petrol,Other,Car,Turning left,Slight,21.0,0,0,0
78,201343N176113,51.826293,-0.783925,South East England,Rural,C,8,40,Single carriageway,Snow,Fine,No,Darkness - no lights,2013-11-21 20:31:00,2013,3,11,21,4,0.855,1,1,11,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1299,Petrol,Ford,Car,Going ahead,Slight,21.0,0,1,0
79,201450AC3C037,50.230408000000004,-5.246121,South West England,Urban,A,5,30,Single carriageway,Dry,Fine,No,Daylight,2014-08-04 17:25:00,2014,2,8,4,1,0.726,3,2,18,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1998,Petrol,Ford,Car,Slowing or stopping,Slight,17.0,0,1,0
