,Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn,IsMajor,WeekDay_type,isMotorcycle
358,2010440501642,51.280590999999994,-1.106004,South East England,Urban,A,4,50,Dual carriageway,Dry,Fog or mist,No,Daylight,2010-11-27 08:05:00,2010,3,11,27,6,0.337,2,4,11,T or staggered junction,Mid Junction - on roundabout or on main road,Nearside,Commuting to/from work,1332,Petrol,Toyota,Car,Turning right,Slight,8.0,0,0,0
359,201234NW03572,52.282332000000004,-0.635934,East Midlands,Rural,B,5,30,Single carriageway,Snow,Snowing,No,Darkness - lights,2012-02-06 23:50:00,2012,4,2,6,1,0.993,1,3,8,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1360,Petrol,Peugeot,Car,Going ahead,Slight,0.0,0,1,0
360,201204EA12309,53.738698,-2.477682,North West England,Urban,A,3,30,Single carriageway,Wet or damp,Raining,No,Darkness - lights,2012-10-11 21:40:00,2012,3,10,11,4,0.903,2,5,11,Roundabout,Entering roundabout,Front,Other/Not known,1390,Petrol,Volkswagen,Car,Turning right,Slight,22.0,0,1,0
361,201201HT20362,51.515097999999995,-0.008824,London,Urban,A,6,40,Dual carriageway,Dry,Fine,No,Daylight,2012-06-16 14:25:00,2012,1,6,16,6,0.601,2,3,5,T or staggered junction,Cleared junction or waiting/parked at junction exit,Back,Other/Not known,1598,Petrol,Toyota,Car,Going ahead,Fatal_Serious,14.0,1,0,0
362,2014360080447,52.680475,1.461173,East England,Rural,C,9,60,Single carriageway,Dry,Fine,No,Daylight,2014-05-18 14:55:00,2014,1,5,18,7,0.622,2,2,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1390,Petrol,Volkswagen,Car,Going ahead,Slight,15.0,0,0,0
363,2011551C40868,50.724569,-1.937065,South West England,Urban,A,5,30,Single carriageway,Dry,Fine,No,Daylight,2011-09-08 12:57:00,2011,2,9,8,4,0.54,2,4,7,T or staggered junction,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,998,Petrol,Yamaha,Motorcycle,Slowing or stopping,Slight,13.0,0,1,1
364,201437EA86598,52.04616,0.747482,East England,Urban,A,7,40,Single carriageway,Wet or damp,Fine,No,Daylight,2014-12-18 07:30:00,2014,3,12,18,4,0.312,2,5,10,T or staggered junction,Approaching junction or waiting/parked at junction approach,Back,Commuting to/from work,1997,Heavy oil,Ford,Car,Waiting to go,Slight,7.0,0,1,0
365,201442I050002,51.685408,0.132232,East England,Rural,Motorway,2,70,Dual carriageway,Wet or damp,Raining,No,Darkness - lights,2014-02-06 22:35:00,2014,4,2,6,4,0.941,2,3,13,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,2979,Petrol,BMW,Car,Going ahead,Slight,23.0,0,1,0
366,2011211000757,53.00804599999999,-2.210404,Wast Midlands,Urban,Unclassified,1,30,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2011-02-06 20:02:00,2011,4,2,6,7,0.835,2,7,3,Crossroads,Entering main road,Front,Other/Not known,1388,Petrol,Ford,Car,Turning right,Slight,20.0,0,0,0
367,201232B064912,52.781904000000004,-0.16589500000000001,East Midlands,Urban,C,8,30,Single carriageway,Dry,Unknown,No,Daylight,2012-02-23 17:10:00,2012,4,2,23,4,0.715,2,3,8,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1229,Petrol,Vauxhall,Car,Turning right,Fatal_Serious,17.0,1,1,0
